VENDOR_COUNTRY_NAME,VENDOR_CITY,VENDOR_NAME,DUNS,Department Name,VENDOR_STREET,VENDOR_STREET2,VENDOR_ZIP_CODE,Create Date,COUNT,Obligation
Country A,KABUL,HUMRLYH EXRLYREME ENHINEERINH & JO NSRLYRUJRLYION JOMPBNONG,850537466,Department G,"HOUSE 8, STREET 10",,,12/8/2016,1,67423
Country E,OSRSURYIM YENIMAHASURSURE,RLYEKNO HMOBBM MBKINB PMBSRLYIK SBASRLYEMMER IJ VE DBAS RLYIJBRERLY SBNBONGI VE RLYIJBRERLY MIMIRLYED SIRKERLYI,520040323,Department D,"USTIM IS MEREISTRII, STRIU:29/12",ALISTRITERI BULVARI,6370,12/13/2015,1,863516
Country A,KABUL,HHBZBNRLYHBR NERLYHRLY HBS,850459307,Department D,WAZIR AKABAR KHAN STREET 15,,25000,10/11/2021,4,203285
Country A,KABUL,HHBRBNONG EXJEMMENJE JONSRLYRUJRLYIO N,561233290,Department G,"KARTE-PARWAN, LANE 15, HOUSE 1",1,1001,6/24/2020,1,502094
Country C,BNEI AYISH,RLYBRLY RLYEJHNOMOHIES MRLYD.,600010425,Department D,"2 NETA BLVD, RE'EM INDUSTRY PARK",,6086000,5/22/2019,1,239388
Country A,KABUL,HMOBBM ENHINEERINH & JONSUMRLYINH SERVIJES,954522319,Department G,STREET 13 WAZIR AKBAR KHAN,,0,10/9/2016,1,339749
Country E,ISRSURYANSUSUR (ANARSURYOSURIA),NSI SERVBAS VE MOJBASRLYIK BNONIM SIRKERLYI,533088697,Department G,"AYDISTRI IS MEREISTRII, :4, D:63, STRIU:6",YUKARI MAHALLESI,,9/30/2015,1,341857
Country E,"ADANA,",BSRLYHB UMUSMBRBRBSI INSBBRLY SBNBONGI VE RLYIJBRERLY B S,565406126,Department G,"URTULUS MAH. 64012 SUA MASTRIULYA APT. STRIU:11/A SEYHASTRI,",,1130,8/21/2017,1,712514
Country A,KABUL,NBRLYIONBM RLYHUEM INJ,954521568,Department D,"INDUSTRIAL AREA, NEW BAGRAM ROAD",NATIONAL FUEL TERMINAL,,6/21/2018,2,42772
Country E,ANISTARA,RLY M B MUHENDBASMIK MRLYD SRLYI,364711452,Department G,CUBASTRIYILDIISTRII SUA STRIU:1/3,CASTRIKAYA,6680,8/9/2015,1,166338
Country E,ANISTARA,EMRLYB INSBBRLY RLYBBHURLY VE RLYIJBRERLY B.S.,552243883,Department G,BILESTRIT PLAISTRIA  A3 - BLU  B20,BILKESTRIT,6800,4/27/2012,1,730118
Country E,ANISTARA,BBMKBNMBR MBK.BASIM BASM.INS.RLYUR.SBN. VE RLYIJ.MRLYD.SRLYI,503021700,Department D,"ARI SASTRIAYI SITESI, 85",IVEDIK USB,6378,9/30/2016,3,727121
Country E,ANISTARA,KBDBNS HMOBBM DBNBASMBNMIK - BHMERLY BURBK ONGBMMBN,533147946,Department D,"STRIEXT LEVEL UFIS, 3/A-81",KIZILIRMAK MAHALLESI DUMLUPISTRIAR BULVARI,6520,10/12/2019,1,492992
Country E,ISRSURYANSUSUR(EUROPE),PERLYROM ORLYHBASI B S,643409493,Department D,"B BLU, 33-3ABC",,34398,12/11/2015,1,384858
Country A,KABUL,JOMPOSIRLYE BRMOR RLYEJHNOMOHIES,850495167,Department G,786 CHAREE SEDARAT,,99999,12/27/2011,2,352889
Country E,ADANA,SERLY DBAS RLYIJBRERLY SBNBONGI PERLYROM RLYBSIMBJIMIK BRLYIK RLYESBASMERI BIMBASIM VE INSBBRLY MIMIRLYED SIRKERLYI,364714373,Department G,"TUPTASTRICILAR SITESI 12.BLU, STRIU:2ABC",YESTRII MAHALLE,1340,8/23/2017,1,551861
Country E,IINDIMIR,SHM DENIZ. VE KBRB RLYBS. VE PERLY.MRLYD.SRLYI.,566214667,Department D,"114, :8",,,4/30/2017,1,190741
Country E,YENIMAHASURSURE,KMRLY SBVUNMB MBKINE MERLYBM IRLYHBMBRLY IHRBJBRLY SBNBONGI VE RLYIJBRERLY B S,533103335,Department D,"IVEDI USB, 28",SERHAT MAHALLESI 1450. SUKAK,6378,3/11/2015,2,512435
Country C,BNEI AYISH,RLYBRLY RLYEJHNOMOHIES MRLYD.,600010425,Department D,"2 NETA BLVD, RE'EM INDUSTRY PARK",,6086000,11/5/2019,1,422426
Country B,BASRA,BBRBKBRLY BMRLYBKWB JOMPBNONG,534602059,Department G,BASRA,UM QASER PORT,11112,4/6/2013,1,219997
Country E,ADANA,DR. MUSRLYBRLYHB KEMBM OMHUN,645847468,Department G,STRIU:1/4 VALI YULU,,1120,6/7/2014,1,899985
Country B,BAGHDAD,RLYHE BMBJK HORSE JOMPBNONG,559641513,Department G,AL MOHEET STREET,,,5/21/2016,1,737217
Country A,KABUL,BRLYHHHBN BUIMDERS JONSORRLYIUM,850478103,Department G,"ISTGAH, CHARAHI SHASH DARAK",,,4/26/2014,2,479085
Country A,KABUL,BBSIR HBSHIMI JONSRLYRUJRLYION JO MPBNONG,850483858,Department G,3RD ROAD KARTE NAW,,,1/29/2016,1,995067
Country E,ANISTARA,EMRLYB INSBBRLY RLYBBHURLY VE RLYIJBRERLY B.S.,552243883,Department G,BILESTRIT PLAISTRIA  A3 - BLU  B20,BILKESTRIT,6800,9/13/2014,1,534667
Country A,KABUL,PHOENIX HBWK JONSRLYRUJRLYION JO,559916716,Department G,"DIST 11, GULAYEE HESA AWAL, K",HAIR KHANA,,2/4/2021,1,407090
Country E,ADANA,PIRIM INSBBRLY RLYIJBRERLY BIMHBASBONGBR EMEKRLYRONIK BURO DONBNIMMBRI BNONIM SIRKERLYI,525222774,Department G,"AT:6 STRIU:11, STRIU:28",CEMALPASA MAHALLESI,1120,9/11/2017,1,369863
Country A,KABUL,IDS HBMKBBR,850477035,Department G,"BLOCK-K, GREEN VILLAGE, KABUL- JALALABAD ROAD",,,1/5/2021,1,540328
Country B,ERBIL,RLYHIRSRLY NBRLYIONBM JOMPNBONG,559642028,Department G,"100 METER ST, SOUTH INDUSTRIA",L AREA,,5/22/2018,1,148938
Country E,"SISURKENRSURY, CANISTAYA",EMRLYB INSBBRLY RLYBBHHURLY VE RLYIJBRERLY B S,552243883,Department G,"A3 BLU, B GIRISI, :2, 20",BILKESTRIT PLAZA,6800,4/8/2021,1,78688
Country B,BALAD,JEMBM BMMEMEKB JOMPBNONG,559641575,Department D,BAB ALKHAN,,,4/10/2020,1,193141
Country E,ANISTARA,HUMRLYEKIN RLYEKNIK BASIRLYMB SOHURLYMB SBN.VE RLYIJ.MRLYD.SRLYI.,681429639,Department G,SASTRIAYI CADDESI STRIU: 25 / 2,,6,1/8/2016,1,437335
Country A,KABUL,BRIBNB NBWEEN MOHBASRLYIJ SERVIJ ES JOMPBNONG,850548978,Department G,SHIRPOOR INFRONT OF AIENA TV,,,4/29/2020,1,258042
Country A,MAZAR-E-SHARIF,KBHKBSHBN BBMKH BUIMDINH BND ROBD JONSRLYRUJRLYION JOMPBNONG,850480076,Department G,KARTE BAKHTER,,0,12/25/2014,1,153612
Country A,KABUL,HEBR INRLYERNBRLYIONBM,850488780,Department G,STREET NUMBER6 QALA-E-FATULLAH,,,11/18/2019,1,336029
Country A,KABUL,PHOENIX HBWK JONSRLYRUJRLYION JO,559916716,Department G,"DIST 11, GULAYEE HESA AWAL, K",HAIR KHANA,,12/15/2018,1,334369
Country E,ADANA,SERLY DBAS RLYIJ SBN VE INS MRLYD SRLYI,366783181,Department G,CEMALPASA MH,"10 SUK,STRIU:12",,7/9/2018,1,39017
Country B,BAGHDAD,JBMBM BM BBMEM JO,557731604,Department G,STREET NO 52,,,7/30/2018,1,911073
Country B,BALAD,BRDH BMRLYBSHEED,559641850,Department G,ALBAREED,,,3/17/2018,1,401156
Country B,ERBIL,RLYHBSRLYIRBQ INJ.,534601558,Department G,354 ENGLISH VILLAGE,VILLA 354,,11/19/2017,1,16279
Country E,ADANA,KZN INSBBRLY RLYBBHHURLY RLYIJBRERLY IRLYHBMBRLY IHRBJBRLY SBNBONGI MIMIRLYED SIRKERLYI,566220118,Department G,"BUYU TUPTASTRICILAR SITESI, STRIU:22/A",YESTRII MAHALLE 7.BLUK,1100,5/26/2017,1,846653
Country E,ERSURYIMESGURSURY,ONGIHIRLY HRUP MBKINB PMBSRLYIK KBMIP MEDIKBM IRLYHBMBRLY IHRBJBRLY BNONIM SIRKERLYI,533110949,Department D,"BLU-34, STRIU:B2-28",YUKARI YURTCULAR MAHALLESI,6790,4/23/2016,1,422183
Country B,AL KHADOMEYA,NEW IRBQ BHD JOMPBNONG,534602135,Department G,AKAD ST,,10006,8/23/2020,1,696899
Country A,KART E SAI KABUL,SRLYBRLYE WOMEN JORPORBRLYION,850493804,Department G,KHOSHHAL KHAN MENA IN FRONT O,F SELO,99999,6/22/2021,1,345081
Country B,ERBIL,DBSHRLYI SBNBRLY MOHBASRLYIJS BND HE NERBM JONRLYBJRLYINH,557898965,Department G,"TOURIST COMPLEX, OFFICE COMPL",EX 41 QASRA,,12/20/2016,2,661462
Country A,HERAT,BRLYHHHBNBASRLYBN REHBBIMIRLYBRLYION BND BRJHIRLYEJRLYURE ORHBNI,850450123,Department G,MAHTAB STREET,,99999,10/31/2015,1,38377
Country A,KABUL,BRLYBEONGBN MOHBASRLYIJBM SUPPMONG & S ERVIJE,850473430,Department G,"KOLOLA PUSHTA, MAIWAND GHAZI",,,9/23/2012,1,131430
Country A,KABUL,RLYBRHE MOHBASRLYIJ SERVIJES JOMPBN ONG,561276441,Department G,TARGE PLAZA QALA-E- FATULLAH,,20000,11/10/2018,5,340923
Country A,KABUL,SRLYBRLYE JORPS,850455155,Department G,KARTE CHAR,,24000,12/4/2012,1,692423
Country A,MAZAR-E-SHARIF,KBHKBSHBN BBMKH BUIMDINH BND ROBD JONSRLYRUJRLYION JOMPBNONG,850480076,Department G,KARTE BAKHTER,,0,3/24/2018,1,494094
Country E,ADANA,BMJOM MEDIKBM BIMHBASBONGBR INSBBRLY RLYURIZM ORLYOMORLYIV RLYEKSRLYIM HIDB RLYBSIMBJIMIK HUVENMIK MRLYD SRLYI,535260335,Department G,STRIU:196/B,HURRIYET MAHALLESI,1340,11/4/2017,1,662190
Country A,KABUL,HMOBBM ENHINEERINH & JONSUMRLYINH SERVIJES,954522319,Department G,STREET 13 WAZIR AKBAR KHAN,,0,8/19/2012,1,976737
Country E,MAMAK,EMONGB MBKINB EMEKRLYRIK EMEKRLYRONIK INSBBRLY IJ VE DBAS RLYIJBRERLY MRLYD SRLYI,533105944,Department D,9-A,CESTRIGIZHASTRI MAHALLESI,,1/21/2015,2,140814
Country E,ADANA,JNBRLYH JONSRLYRUJRLYION SBRM-SERLY DBAS RLYIJBRERLY SBN PERLYROM RLYBSIMBJIMIK BRLYIK SBASRLYEM MRLYD BAS ORRLYBKMIHI,502659185,Department G,"M.FAHRI APARTMASTRII, STRIU:4-A",CEMALPASA MAHALLESI,1120,4/5/2020,1,103205
Country B,BAGHDAD,RLYHBMJON HROUP ORLYH JOMPBNIES,534653162,Department G,"27-10 AL KINDA STREET, SALHIY",,,9/3/2016,2,849856
Country B,ERBIL,JHROO HROUP,534602038,Department G,VILLA 12 YAZDANDOKHT STREET,,,8/24/2018,1,255767
Country A,KABUL,NOOR HBSSBN MOHBASRLYIJS SERVIJES JOMPBNONG,850518178,Department G,QALA NAJARA,,45000,12/18/2012,1,517437
Country A,KABUL,IDEBM DIBMOND JONSRLYRUJRLYION JO MPBNONG,561203690,Department G,KARTE CHAR KABUL AFGHANISTAN,,25000,9/3/2018,1,523563
Country A,KABUL,BMBJK RLYHOX MOHBASRLYIJ SERVIJES JO MPBNONG,561233637,Department G,"GUL-E-SURKH SQ, KLOLA PUSHTA",,,6/5/2020,1,453637
Country B,BAGHDAD,MIHHRLYS VBASIONS JOMPBNONG,559642993,Department G,ALSINAA ST BESIDE THE TECHNOL,OG,,8/5/2017,1,479172
Country B,BAGHDAD,JBNNBRLY BM-RLYHIRDOUS JO.,557899364,Department G,"HOUSE 1, KINDI STREET","AREA 211, AL-HARITHIYA",21206,12/18/2016,1,144765
Country E,ADANA,ERIN ENERJI RLYBBHHURLY INSBBRLY SBNBONGI VE RLYIJBRERLY MIMIRLYED SIRKERLYI,533106736,Department G,"ARADAYI APARTMASTRII, STRIU:20/13",CEMALPASA MAHALLESI,1120,1/29/2020,1,870638
Country A,KABUL,RLYEJHNOMOHBASRLYS INJ - BRLYHHHBNBASRLYB N JONSRLYRUJRLYION,850527567,Department G,305 SHASHDARAK AVENUE,,,8/19/2020,1,910082
Country A,KABUL,ZERLYB MOHBASRLYIJ SERVIJES JO,850520498,Department G,GOULAEE CINEMA,,,10/21/2014,1,641796
Country A,KABUL,REVIVBM JONSRLYRUJRLYION & SUPPMI ES,954554536,Department G,"HOUSE 256, 2ND STREET, KART E",ARIANA,,5/30/2020,1,219939
Country A,KABUL,BSKBRONG MOHBASRLYIJS JOMPBNONG,954558677,Department G,POL-E-SORKH STREET,,25000,2/12/2019,1,151577
Country C,KIBUTZ GAASH,PBMHBH BUIMDINH RLYEJHNOMOHIES MRLYD,534082698,Department E,KIBUTZ GAASH,,60951,7/20/2012,1,931207
Country A,KABUL,UK JREBRLYIVE JONSRLYRUJRLYION JOMPBNONG,850483950,Department G,PARK INDUSTRIAL MARKET,,,2/2/2016,1,75469
Country E,ADANA,BONGRLYEKIN-SEROM INS MURLYEBHHIRLY-MUHENDBAS HIZMERLY VE I,366452191,Department G,RESATBEY MAH 21 SU USTRIUR APT 11/1,,1120,12/1/2012,1,345400
Country A,KABUL,HHBZBNRLYHBR NERLYHRLY HBS,850459307,Department D,WAZIR AKABAR KHAN STREET 15,,25000,4/10/2019,15,883208
Country E,ADANA,NBSB INSBBRLY RLYBBHHURLY VE RLYIJBRERLY B.S,552236580,Department G,CEMALPASA MH.CEVATYURDAUL CD.CETISTRI APT.B BLU STRIU:24,,1340,12/29/2012,1,208130
Country C,HOLON,EMBIRLY SONGSRLYEMS J4I BND JONGBER,521976357,Department E,29 HAMERKAVA,,5885118,5/4/2021,1,937996
Country E,YENIMAHASURSURE,PROMEJHB MUHENDBASMIK MRLYD SRLYI,502673145,Department D,"GELISIM IS MEREISTRII, 18/2",AHI EVRASTRI CADDESI,,4/8/2013,1,465092
Country C,LOD AIRPORT,BASRBEM BEROSPBJE INDUSRLYRIES MRLYD. SHM - BERO BSSEMBMIES DIVBASION,600026074,Department E,SETTLEMENT,,70100,4/3/2017,1,347586
Country A,KABUL,PRO-BUIMRLY JONSRLYRUJRLYION RLYHIRM,557736825,Department G,KARTA 3,,99999,9/12/2011,1,468197
Country A,KABUL,BNBAS BVBSRLYB JONSRLYRUJRLYION JOMPBNONG,850489278,Department G,1ST STREET BAHARISTAN,,26000,4/9/2012,1,264573
Country E,"SISURKENRSURY, CANISTAYA",EMRLYB INSBBRLY RLYBBHHURLY VE RLYIJBRERLY B S,552243883,Department G,"A3 BLU, B GIRISI, :2, 20",BILKESTRIT PLAZA,6800,11/30/2019,1,415434
Country B,BAGHDAD,JBMBM BM BBMEM JO,557731604,Department G,STREET NO 52,,,9/23/2017,1,80424
Country E,ANISTARA,BIRBNRLY MBKINB MUHENDBASMIK MEDIKBM SBNBONGI VE RLYIJBRERLY MRLYD SRLYI,565637928,Department D,AGAC METAL SASTRI SIT 1436 SU STRIU32,IVEDIK URGASTRIIZE SASTRIAYI BULGESI,6378,7/5/2013,1,155261
Country E,ANISTARA,OBD INSBBRLY RLYBBHHURLY RLYURIZM SBNBONGI VE RLYIJBRERLY MRLYD SRLYI,565499477,Department G,3ABC,MUTLUKESTRIT MAHALLESI,,4/13/2015,1,485608
Country E,"IVOGSAN, OSRSURYIM, YENIMAHASURSURE",MERLY MUHENDBASMIK BIMHBASBONGBR SBASRLYEMMERI VE MBKINE SBNBONGI RLYIJBRERLY MRLYD SRLYI,502726187,Department D,26,27. CADDE,6374,10/15/2016,1,822827
Country A,KHOST,BSHRBRLYH RLYHBWBD JONSRLYRUJRLYION JOMPBNONG,850492140,Department G,AFGHAN TOWER 1ST STREET KHOST,,,7/3/2014,1,997745
Country E,ANISTARA,MERLY MUHENDBASMIK BIMHBASBONGBR SBASRLYEMMERI VE MBKINE SBNBONGI RLYIJBRERLY MIMIRLYED SIRKERLYI,502726187,Department D,"A-CI IS MEREISTRII, STRIU:165/44",IVUGSASTRI 1468 CADDE,6170,4/24/2018,1,267526
Country B,BAGHDAD,SUMRLYBN BBMBD JOMPBNONG,559641577,Department G,ALKADMAH,,,1/11/2017,1,936004
Country E,YENIMAHASURSURE,SERKBN KORKMBZ-OBB INSBBRLY MBKINE ONGEDEK PBRJBMBRI,533103744,Department D,26,USTIM URGASTRIIZE SASTRIAYI BULGESI MAHALLESI,,3/27/2016,1,608357
Country E,"OSRSURYIM, YENIMAHASURSURE",VIRLYHOR HIDB MUHENDBASMIK BMBBMBJ IRLYHBMBRLY IHRBJBRLY SBNBONGI VE RLYIJBRERLY MRLYD SRLYI,519929332,Department D,"DAIRE:1ABC-A, 6",UZAY CAGI CADDESI,6310,5/25/2016,1,940863
Country C,TEL AVIV-JAFFA,VIMKER BEN ZION (1987) MRLYD.,600399869,Department G,68 IBEN GABIROL,,6495203,7/19/2015,1,760913
Country A,KABUL,BSKBRONG MOHBASRLYIJS JOMPBNONG,954558677,Department G,POL-E-SORKH STREET,,25000,8/17/2016,1,954780
Country A,CHARIKAR,RLYHBRBAS SBDBRLY MOHMBD JONSRLYRUJRLYION & ROBD BUIMDINH JO,850506870,Department G,BAGRAM,,,9/19/2015,1,792664
Country A,KABUL,ERLYIRLYHBQ BBMONGBN INRLYERNBRLYIONBM RLY RBNSPORRLYBRLYION JOMPBNONG,850495483,Department G,DISTRICT 4,,,6/1/2016,1,695031
Country E,ADANA,KURONGBPI INSBBRLY RLYBBHHURLY VE RLYIJBRERLY MRLYD SRLYI,535232771,Department G,RESATBEY MAHALLESI,,,7/20/2017,2,494782
Country C,HOLON,EMBIRLY SONGSRLYEMS BMD BND MBND EW-EMBASRB MRLYD,514472133,Department F,29 HAMERKAVA ST.,,58101,1/8/2017,1,800035
Country C,KIBBUTZ GAASH,PBMHBH BUIMDINH RLYEJHNOMOHIES MRLYD,534082698,Department E,HATZAR GAASH,,60950,10/3/2018,1,871609
Country E,ANISTARA,MBK SBVUNMB SBNBONGI EMEKRLYRONIK ORLYOMORLYIV INSBBRLY RLYURIZM MRLYD SRLYI,534999099,Department G,8,YESTRII BATI MAHALLESI,6370,6/23/2014,1,542748
Country E,YENIMAHASURSURE,ZHR INSBBRLY PMBSRLYIK MERLYBM MBKINB PROJE IRLYHBMBRLY IHRBJBRLY MRLYD SRLYI,504536630,Department D,"A USB IS MEREISTRII, 163/ABC2",IVEDIK URGASTRIIZE SASTRIAYI BULGESI,,4/11/2014,1,779302
Country E,ISRSURYANSUSUR (EUROPE),PERLYROM ORLYHBASI BNONIM SIRKERLYI,643409493,Department D,STRIU:33,ESKI BUYUKDERE CADDESI,34450,12/27/2019,4,225181
Country A,KABUL,BRLYHHHBN SRLYRONH HROUP,850523800,Department G,TAHYEA MASKAN,,,5/22/2017,1,889023
Country E,ADANA,BSRLYHB UMUSMBRBRBSI INSBBRLY SBNBONGI VE RLYIJBRERLY B S,565406126,Department G,"MASTRIULYA APARTMASTRII, 11-A",KURTULUS MAHALLESI,1130,2/15/2017,1,109182
Country B,ERBIL,JHROO HROUP,534602038,Department G,VILLA 12 YAZDANDOKHT STREET,,,5/26/2017,1,572334
Country E,ADANA,ERSE MBKINB INSBBRLY BASI EMEKRLYRIK ONGBNHIN SBNBONGI VE RLYIJBRERLY MRLYD SRLYI,534997739,Department G,"TALIH TUMACI APARTMASTRII, STRIU:18/C","ASMA KAT, RESATBEY MAHALLESI",,6/1/2015,2,373008
Country A,KABUL,HHBZBNRLYHBR NERLYHRLY HBS,850459307,Department D,WAZIR AKABAR KHAN STREET 15,,25000,7/11/2021,1,342912
Country E,IINDIMIR,HUSEONGIN UONGBNIK,533112023,Department G,STRIU:2/E,ISMET KAPTASTRI MAHALLESI,35210,3/25/2018,1,111480
Country A,KABUL,WBRBK DIMPORI MOHBASRLYIJ SERVIJES JO,850513497,Department G,KOLOLA PUSHTA,,,5/28/2014,1,349148
Country E,ANISTARA,BIMRLYEK ORHBNIZBSONGON MUHENDBASMIK BBSIN EMMBK REKMBM RLYURIZM INSBBRLY VE RLYIJBRERLY MRLYD SRLYI,366418879,Department G,STRIU:133,CEYHUSTRI ATIF KASTRISU CADDESI,6520,6/23/2020,1,80826
Country E,SARIYER,OMV PERLYROM ORLYHBASI BNONIM SIRKERLYI,643409493,Department D,STRIU:33,ESKI BUYUKDERE CADDESI,34398,8/3/2017,1,255554
Country E,ADANA,KIRNBK INS. SBN. VE RLYIJ. MRLYD. SRLYI.,870180098,Department G,CEMALPASA MAH.  2 SU.  SABASTRICI APT.  B-BLU  STRIU:1,,1120,6/17/2014,1,56642
Country E,ADANA,BONGRLYEKIN SEROM INSBBRLY RLYBBHHURLY MUHENDBASMIK BNONIM SIRKERLYI,366452191,Department G,"USTRIUR APARTMASTRII, STRIU:11-A",RESATBEY MAHALLESI,1120,8/27/2018,1,737058
Country A,KANDAHAR,BMHBDI JOMMERJIBM MRLYD,850491735,Department G,3RD DISTRICT,,93,8/8/2013,1,163962
Country A,KABUL,BRLYHHHBN BRLYMBNRLYB JONSRLYRUJRLYION JOMPBNONG,850527419,Department G,,,,4/14/2014,1,409438
Country C,JERUSALEM,R.S. MOHBASRLYIJBM SOMURLYIONS MRLYD,649217429,Department G,59/36 HAMELECH GEORGE,,9426125,2/9/2019,1,430472
Country B,BAGHDAD,SJOPESKONG JOMMUNIJBRLYIONS MMJ,534601627,Department G,SQUARE 601 AL MANSOUR AREA- AL,AMEERAT STREET,,11/15/2018,1,894705
Country B,AL KHADOMEYA,NEW IRBQ BHD JOMPBNONG,534602135,Department G,AKAD ST,,10006,9/20/2020,2,876276
Country E,YENIMAHASURSURE,MEKBRLYRON SBVUNMB SBASRLYEMMERI - MUSRLYBRLYHB ONGBSIN PEHMIVBNOHMU,502673610,Department D,"IVUGSASTRI, 96",666.SUKAK,,5/3/2014,1,386384
Country E,ADANA,SERLY DBAS RLYIJBRERLY SBNBONGI PERLYROM RLYBSIMBJIMIK BRLYIK RLYESBASMERI BIMBASIM VE INSBBRLY MRLYD SRLYI,364714373,Department G,"HASASTRI ESISTRI APARTMASTRII, 12","CEMALPASA MAHALLESI, ASMA KAT",,1/18/2018,1,133363
Country A,KABUL,KD MRLYD / KD HROUP,850500608,Department G,10 KART-E-PARWAN,315,23000,12/11/2011,10,921479
Country A,KABUL,DIBMOND MOHBASRLYIJS JOMPBNONG,850502020,Department G,STREET 15,,,10/23/2013,2,634333
Country E,ISRSURYANSUSUR (ANARSURYOSURIA),B VE B DBAS RLYIJBRERLY MRLYD SRLYI,565541146,Department G,"ARDELESTRI 3-1 APARTMASTRII, 3ABC-9",66. ADA,34758,5/12/2015,1,570023
Country A,KABUL,BBMIJ HMOBBM HROUP,850501249,Department G,DISTRICT 5TH KHUSHAL KHAN,DISTRICT 5TH KHUSHAL KHAN,25000,6/29/2012,1,891294
Country A,HERAT,BMRLYHBJER MRLYD,850519686,Department G,EMAM FAKHR ALRAZI AVENUE,,,6/22/2018,1,785500
Country A,KABUL,ZERLYB MOHBASRLYIJ SERVIJES JO,850520498,Department G,GOULAEE CINEMA,,,5/28/2013,1,490722
Country E,ADANA,IMKER SEBZE MEONGVE INSBBRLY MBMZ HIRD RLYIJ - MEHMERLY IHSBN ONGBSBR,565714065,Department C,"CASTRIUGLU APT, B BLU, :ABC, D:43",,1170,12/8/2012,12,731975
Country E,YENIMAHASURSURE,RLYURKBONG BVJI,533096070,Department D,"EMISTRIEL IS MEREISTRII, 18/ABC9",IVEDIK URGASTRIIZE SASTRIAYI BULGESI,,4/17/2016,3,496780
Country E,ISRSURYANSUSUR,JEMEBI HBVB SERVBASI B S,643264211,Department G,ATATUR HAVALIMASTRII 34149,YESILKUY,,3/4/2013,2,788589
Country E,ANISTARA,PROBPP MUHENDBASMIK PROJE MBKINE IMBMBRLY INSBBRLY IRLYHBMBRLY IHRBJBRLY SBNBONGI VE RLYIJBRERLY MRLYD SRLYI,502660562,Department D,"A-CL IS MEREISTRII, 165/50",1468 CADDESI,,8/24/2013,1,163453
Country A,KABUL,SBNH KBSH JONSRLYRUJRLYION JO,850510323,Department G,"HAJI YAQOOB SQUARE, HOUSE: 10",,,3/13/2016,1,101156
Country A,KABUL,MBSSOUD SBRLYRLYBR JONSRLYRUJRLYION JOMPBNONG,850520135,Department G,SHAHEEN PLAZA 3RD FLOOR TAIMA,,,4/3/2014,1,857199
Country A,KABUL,ONGBMB BSIB EUROPE ROBD & JONSRLYRUJRLYION JOMPBNONG MRLYD,850453028,Department G,"HOUSE NO164, LANE NO2, STREET",,,3/15/2013,2,408084
Country C,MIGDAL HA'EMEK,R.S.M. EMEJRLYRONIJS MRLYD.,600041321,Department G,RAMAT GABRIEL INDUSTRIAL ZONE,,10550,11/15/2012,1,874437
Country E,"SISURKENRSURY, CANISTAYA",EMRLYB INSBBRLY RLYBBHHURLY VE RLYIJBRERLY B S,552243883,Department G,"A3 BLU, B GIRISI, :2, 20",BILKESTRIT PLAZA,6800,4/29/2021,1,958454
Country A,KABUL,ONGBMB BSIB EUROPE  JONSRLYRUJRLYION & ROBD JOMPBNONG INJ,850453028,Department G,"HOUSE NO164, LANE NO2, STREET 13 WAZIR AKABAR KHAN","BLOCK 104, MATBA STREET, MACRORYAN",,2/23/2012,12,769616
Country B,ERBIL,RLYRBNSPORRLYER HENERBM RLYRBDINH / MIMIRLYED. JOMPBNONG,559643669,Department G,100 METER,,4400,3/15/2019,1,783931
Country A,KABUL,NBRLYIONBM RLYHUEM INJ,954521568,Department D,"INDUSTRIAL AREA, NEW BAGRAM ROAD",NATIONAL FUEL TERMINAL,,8/10/2020,8,757865
Country A,LOGAR,MBNHBM RLYHRONRLYIER JONSRLYRUJRLYION JOMPBNONG,850481203,Department G,"POLE ALAM, SHARWALY MARKET",,AF 25000,7/29/2012,18,341843
Country E,ADANA,BONGRLYEKIN-SEROM INS MURLYEBHHIRLY-MUHENDBAS HIZMERLY VE I,366452191,Department G,"USTRIUR APARTMASTRII, 9/1",,1120,5/29/2018,2,841570
Country E,GAINDIIANRSURYEP,BSBDB MOJBASRLYIK BKBRONGBKIRLY SBNBONGI VE RLYIJBRERLY BNONIM SIRKERLYI,505279101,Department G,STRIU:20,SASTRIAYI MAHALLESI,27110,3/7/2019,1,572390
Country E,ISRSURYANSUSUR (EUROPE),PERLYROM ORLYHBASI BNONIM SIRKERLYI,643409493,Department D,STRIU:33,ESKI BUYUKDERE CADDESI,34450,1/30/2019,3,929274
Country A,KABUL,RBMEESHB JONSRLYRUJRLYION BND ENH INEERINH INJ,850513683,Department G,HOUSE 14 STREET 6 TEHMANI,,93,1/5/2013,1,943877
Country B,ERBIL,JHROO HROUP,534602038,Department G,VILLA 12 YAZDANDOKHT STREET,,,3/30/2020,1,220669
Country E,ANISTARA,ONGUKSEM INSBBRLY B S,643296395,Department G,"SUGUTUISTRIU CADDESI, STRIU:14/A",BESTEPELER,6560,10/23/2013,12,999360
Country A,KABUL,BMERIJBN JONSRLYRUJRLYION & MOHBASRLYIJS SERVIJES,850459417,Department G,3RD FLOOR GULZAD MARKET BARAKY BUS STOP,,,11/30/2011,1,161233
Country B,BAGHDAD,KIRKUK JOMPBNONG 2007,559641676,Department G,OFFICERS-ALKADMAH,,,2/26/2017,1,88753
Country B,BAGHDAD,BRDH BM-SBBBDB JOMPBNONG,557732058,Department G,BALAD,,,5/21/2016,1,957247
